Fecha,precio_promedio_kg,variedad
2022-01-13,1.33,Papa Huamantanga
2022-01-13,1.53,Papa Huayro
2022-01-13,1.24,Papa Negra Andina
2022-01-13,1.5,Papa Peruanita
2022-01-13,1.15,Papa Unica
2022-01-13,1.11,Papa Yungay
2022-01-14,2.05,Papa Amarilla
2022-01-14,1.09,Papa Blanca
2022-01-14,1.11,Papa Canchan
2022-01-14,1.13,Papa Color
2022-01-14,1.33,Papa Huamantanga
2022-01-14,1.48,Papa Huayro
2022-01-14,1.23,Papa Negra Andina
2022-01-14,1.48,Papa Peruanita
2022-01-14,1.15,Papa Unica
2022-01-14,1.09,Papa Yungay
2022-01-15,1.95,Papa Amarilla
2022-01-15,1.1,Papa Blanca
2022-01-15,1.1,Papa Canchan
2022-01-15,1.13,Papa Color
2022-01-15,1.3,Papa Huamantanga
2022-01-15,1.5,Papa Huayro
2022-01-15,1.2,Papa Negra Andina
2022-01-15,1.48,Papa Peruanita
2022-01-15,1.16,Papa Unica
2022-01-15,1.1,Papa Yungay
2022-01-16,1.95,Papa Amarilla
2022-01-16,1.1,Papa Blanca
2022-01-16,1.1,Papa Canchan
2022-01-16,1.13,Papa Color
2022-01-16,1.3,Papa Huamantanga
2022-01-16,1.5,Papa Huayro
2022-01-16,1.2,Papa Negra Andina
2022-01-16,1.48,Papa Peruanita
2022-01-16,1.16,Papa Unica
2022-01-16,1.1,Papa Yungay
2022-01-17,1.93,Papa Amarilla
2022-01-17,1.03,Papa Blanca
2022-01-17,1.08,Papa Canchan
2022-01-17,1.11,Papa Color
2022-01-17,1.33,Papa Huamantanga
2022-01-17,1.51,Papa Huayro
2022-01-17,1.2,Papa Negra Andina
2022-01-17,1.53,Papa Peruanita
2022-01-17,1.14,Papa Unica
2022-01-17,1.03,Papa Yungay
2022-01-18,1.93,Papa Amarilla
2022-01-18,1.01,Papa Blanca
2022-01-18,1.05,Papa Canchan
2022-01-18,1.1,Papa Color
2022-01-18,1.3,Papa Huamantanga
2022-01-18,1.49,Papa Huayro
2022-01-18,1.18,Papa Negra Andina
2022-01-18,1.5,Papa Peruanita
2022-01-18,1.14,Papa Unica
2022-01-18,1.01,Papa Yungay
2022-01-19,2.0,Papa Amarilla
2022-01-19,1.04,Papa Blanca
2022-01-19,1.05,Papa Canchan
2022-01-19,1.11,Papa Color
2022-01-19,1.28,Papa Huamantanga
2022-01-19,1.48,Papa Huayro
2022-01-19,1.21,Papa Negra Andina
2022-01-19,1.48,Papa Peruanita
2022-01-19,1.16,Papa Unica
2022-01-19,1.04,Papa Yungay
2022-01-20,1.93,Papa Amarilla
2022-01-20,1.0,Papa Blanca
2022-01-20,1.03,Papa Canchan
2022-01-20,1.08,Papa Color
2022-01-20,1.28,Papa Huamantanga
2022-01-20,1.5,Papa Huayro
2022-01-20,1.19,Papa Negra Andina
2022-01-20,1.48,Papa Peruanita
2022-01-20,1.14,Papa Unica
2022-01-20,1.0,Papa Yungay
2022-01-21,1.9,Papa Amarilla
2022-01-21,1.01,Papa Blanca
2022-01-21,1.03,Papa Canchan
2022-01-21,1.09,Papa Color
2022-01-21,1.33,Papa Huamantanga
2022-01-21,1.5,Papa Huayro
2022-01-21,1.18,Papa Negra Andina
2022-01-21,1.49,Papa Peruanita
2022-01-21,1.15,Papa Unica
2022-01-21,1.01,Papa Yungay
2022-01-22,2.0,Papa Amarilla
2022-01-22,1.08,Papa Blanca
2022-01-22,1.04,Papa Canchan
2022-01-22,1.08,Papa Color
2022-01-22,1.38,Papa Huamantanga
2022-01-22,1.58,Papa Huayro
2022-01-22,1.18,Papa Negra Andina
2022-01-22,1.48,Papa Peruanita
2022-01-22,1.13,Papa Unica
2022-01-22,1.08,Papa Yungay
2022-01-23,2.0,Papa Amarilla
2022-01-23,1.08,Papa Blanca
2022-01-23,1.04,Papa Canchan
2022-01-23,1.08,Papa Color
2022-01-23,1.38,Papa Huamantanga
2022-01-23,1.58,Papa Huayro
2022-01-23,1.18,Papa Negra Andina
2022-01-23,1.48,Papa Peruanita
2022-01-23,1.13,Papa Unica
2022-01-23,1.08,Papa Yungay
2022-01-24,2.08,Papa Amarilla
2022-01-24,1.13,Papa Blanca
2022-01-24,1.06,Papa Canchan
2022-01-24,1.1,Papa Color
2022-01-24,1.33,Papa Huamantanga
2022-01-24,1.6,Papa Huayro
2022-01-24,1.18,Papa Negra Andina
2022-01-24,1.5,Papa Peruanita
2022-01-24,1.13,Papa Unica
2022-01-24,1.13,Papa Yungay
2022-01-25,2.1,Papa Amarilla
2022-01-25,1.13,Papa Blanca
2022-01-25,1.05,Papa Canchan
2022-01-25,1.06,Papa Color
2022-01-25,1.33,Papa Huamantanga
2022-01-25,1.59,Papa Huayro
2022-01-25,1.19,Papa Negra Andina
2022-01-25,1.48,Papa Peruanita
2022-01-25,1.08,Papa Unica
2022-01-25,1.13,Papa Yungay
2022-01-26,2.1,Papa Amarilla
2022-01-26,1.2,Papa Blanca
2022-01-26,1.08,Papa Canchan
2022-01-26,1.09,Papa Color
2022-01-26,1.4,Papa Huamantanga
2022-01-26,1.59,Papa Huayro
2022-01-26,1.19,Papa Negra Andina
2022-01-26,1.53,Papa Peruanita
2022-01-26,1.1,Papa Unica
2022-01-26,1.2,Papa Yungay
2022-01-27,2.13,Papa Amarilla
2022-01-27,1.2,Papa Blanca
2022-01-27,1.08,Papa Canchan
2022-01-27,1.1,Papa Color
2022-01-27,1.38,Papa Huamantanga
2022-01-27,1.63,Papa Huayro
2022-01-27,1.21,Papa Negra Andina
2022-01-27,1.49,Papa Peruanita
2022-01-27,1.11,Papa Unica
2022-01-27,1.2,Papa Yungay
2022-01-28,2.1,Papa Amarilla
2022-01-28,1.29,Papa Blanca
2022-01-28,1.18,Papa Canchan
2022-01-28,1.25,Papa Color
2022-01-28,1.43,Papa Huamantanga
2022-01-28,1.73,Papa Huayro
2022-01-28,1.31,Papa Negra Andina
2022-01-28,1.59,Papa Peruanita
2022-01-28,1.31,Papa Unica
2022-01-28,1.29,Papa Yungay
2022-01-29,2.08,Papa Amarilla
2022-01-29,1.29,Papa Blanca
2022-01-29,1.23,Papa Canchan
2022-01-29,1.31,Papa Color
2022-01-29,1.5,Papa Huamantanga
2022-01-29,1.7,Papa Huayro
2022-01-29,1.35,Papa Negra Andina
2022-01-29,1.69,Papa Peruanita
2022-01-29,1.4,Papa Unica
2022-01-29,1.29,Papa Yungay
2022-01-30,2.08,Papa Amarilla
2022-01-30,1.29,Papa Blanca
2022-01-30,1.23,Papa Canchan
2022-01-30,1.31,Papa Color
2022-01-30,1.5,Papa Huamantanga
2022-01-30,1.7,Papa Huayro
2022-01-30,1.35,Papa Negra Andina
2022-01-30,1.69,Papa Peruanita
2022-01-30,1.4,Papa Unica
2022-01-30,1.29,Papa Yungay
2022-01-31,2.13,Papa Amarilla
2022-01-31,1.3,Papa Blanca
2022-01-31,1.3,Papa Canchan
2022-01-31,1.39,Papa Color
2022-01-31,1.58,Papa Huamantanga
2022-01-31,1.7,Papa Huayro
2022-01-31,1.36,Papa Negra Andina
2022-01-31,1.69,Papa Peruanita
2022-01-31,1.48,Papa Unica
2022-01-31,1.3,Papa Yungay
2022-02-01,2.1,Papa Amarilla
2022-02-01,1.28,Papa Blanca
2022-02-01,1.28,Papa Canchan
2022-02-01,1.38,Papa Color
2022-02-01,1.58,Papa Huamantanga
2022-02-01,1.69,Papa Huayro
2022-02-01,1.35,Papa Negra Andina
2022-02-01,1.68,Papa Peruanita
2022-02-01,1.48,Papa Unica
2022-02-01,1.28,Papa Yungay
2022-02-02,2.13,Papa Amarilla
2022-02-02,1.3,Papa Blanca
2022-02-02,1.33,Papa Canchan
2022-02-02,1.4,Papa Color
2022-02-02,1.61,Papa Huamantanga
2022-02-02,1.7,Papa Huayro
2022-02-02,1.35,Papa Negra Andina
2022-02-02,1.71,Papa Peruanita
2022-02-02,1.48,Papa Unica
2022-02-02,1.3,Papa Yungay
2022-02-03,2.15,Papa Amarilla
2022-02-03,1.28,Papa Blanca
2022-02-03,1.33,Papa Canchan
2022-02-03,1.41,Papa Color
2022-02-03,1.58,Papa Huamantanga
2022-02-03,1.73,Papa Huayro
2022-02-03,1.35,Papa Negra Andina
2022-02-03,1.78,Papa Peruanita
2022-02-03,1.49,Papa Unica
2022-02-03,1.28,Papa Yungay
2022-02-04,2.2,Papa Amarilla
2022-02-04,1.3,Papa Blanca
2022-02-04,1.3,Papa Canchan
2022-02-04,1.39,Papa Color
2022-02-04,1.78,Papa Huamantanga
2022-02-04,1.83,Papa Huayro
2022-02-04,1.45,Papa Negra Andina
2022-02-04,1.88,Papa Peruanita
2022-02-04,1.48,Papa Unica
2022-02-04,1.3,Papa Yungay
2022-02-05,2.2,Papa Amarilla
2022-02-05,1.4,Papa Blanca
2022-02-05,1.53,Papa Canchan
2022-02-05,1.57,Papa Color
2022-02-05,1.88,Papa Huamantanga
2022-02-05,1.83,Papa Huayro
2022-02-05,1.55,Papa Negra Andina
2022-02-05,1.88,Papa Peruanita
2022-02-05,1.63,Papa Unica
2022-02-05,1.4,Papa Yungay
2022-02-06,2.2,Papa Amarilla
2022-02-06,1.4,Papa Blanca
2022-02-06,1.53,Papa Canchan
2022-02-06,1.57,Papa Color
2022-02-06,1.88,Papa Huamantanga
2022-02-06,1.83,Papa Huayro
2022-02-06,1.55,Papa Negra Andina
2022-02-06,1.88,Papa Peruanita
2022-02-06,1.63,Papa Unica
2022-02-06,1.4,Papa Yungay
2022-02-07,2.28,Papa Amarilla
2022-02-07,1.55,Papa Blanca
2022-02-07,1.64,Papa Canchan
2022-02-07,1.7,Papa Color
2022-02-07,1.88,Papa Huamantanga
2022-02-07,1.73,Papa Huayro
2022-02-07,1.64,Papa Negra Andina
2022-02-07,1.88,Papa Peruanita
2022-02-07,1.75,Papa Unica
2022-02-07,1.55,Papa Yungay
2022-02-08,2.28,Papa Amarilla
2022-02-08,1.53,Papa Blanca
2022-02-08,1.63,Papa Canchan
2022-02-08,1.73,Papa Color
2022-02-08,1.88,Papa Huamantanga
2022-02-08,1.75,Papa Huayro
2022-02-08,1.66,Papa Negra Andina
2022-02-08,1.88,Papa Peruanita
2022-02-08,1.83,Papa Unica
2022-02-08,1.53,Papa Yungay
2022-02-09,2.33,Papa Amarilla
2022-02-09,1.58,Papa Blanca
2022-02-09,1.68,Papa Canchan
2022-02-09,1.78,Papa Color
2022-02-09,1.9,Papa Huamantanga
2022-02-09,1.75,Papa Huayro
2022-02-09,1.7,Papa Negra Andina
2022-02-09,1.9,Papa Peruanita
2022-02-09,1.88,Papa Unica
2022-02-09,1.58,Papa Yungay
2022-02-10,2.4,Papa Amarilla
2022-02-10,1.6,Papa Blanca
2022-02-10,1.69,Papa Canchan
2022-02-10,1.78,Papa Color
2022-02-10,1.85,Papa Huamantanga
2022-02-10,1.75,Papa Huayro
2022-02-10,1.69,Papa Negra Andina
2022-02-10,1.88,Papa Peruanita
2022-02-10,1.88,Papa Unica
2022-02-10,1.6,Papa Yungay
2022-02-11,2.3,Papa Amarilla
2022-02-11,1.43,Papa Blanca
2022-02-11,1.5,Papa Canchan
2022-02-11,1.7,Papa Color
2022-02-11,1.9,Papa Huamantanga
2022-02-11,1.56,Papa Huayro
2022-02-11,1.61,Papa Negra Andina
2022-02-11,1.73,Papa Peruanita
2022-02-11,1.9,Papa Unica
2022-02-11,1.43,Papa Yungay
2022-02-12,2.2,Papa Amarilla
2022-02-12,1.3,Papa Blanca
2022-02-12,1.43,Papa Canchan
2022-02-12,1.68,Papa Color
2022-02-12,1.9,Papa Huamantanga
2022-02-12,1.55,Papa Huayro
2022-02-12,1.6,Papa Negra Andina
2022-02-12,1.68,Papa Peruanita
2022-02-12,1.93,Papa Unica
2022-02-12,1.3,Papa Yungay
2022-02-13,2.2,Papa Amarilla
2022-02-13,1.3,Papa Blanca
2022-02-13,1.43,Papa Canchan
2022-02-13,1.68,Papa Color
2022-02-13,1.9,Papa Huamantanga
2022-02-13,1.55,Papa Huayro
2022-02-13,1.6,Papa Negra Andina
2022-02-13,1.68,Papa Peruanita
2022-02-13,1.93,Papa Unica
2022-02-13,1.3,Papa Yungay
2022-02-14,2.28,Papa Amarilla
2022-02-14,1.23,Papa Blanca
2022-02-14,1.48,Papa Canchan
2022-02-14,1.69,Papa Color
2022-02-14,1.93,Papa Huamantanga
2022-02-14,1.58,Papa Huayro
2022-02-14,1.6,Papa Negra Andina
2022-02-14,1.7,Papa Peruanita
2022-02-14,1.9,Papa Unica
2022-02-14,1.23,Papa Yungay
2022-02-15,2.28,Papa Amarilla
2022-02-15,1.18,Papa Blanca
2022-02-15,1.48,Papa Canchan
2022-02-15,1.68,Papa Color
2022-02-15,1.9,Papa Huamantanga
2022-02-15,1.6,Papa Huayro
2022-02-15,1.58,Papa Negra Andina
2022-02-15,1.7,Papa Peruanita
2022-02-15,1.88,Papa Unica
2022-02-15,1.18,Papa Yungay
2022-02-16,2.3,Papa Amarilla
2022-02-16,1.19,Papa Blanca
2022-02-16,1.48,Papa Canchan
2022-02-16,1.7,Papa Color
2022-02-16,1.88,Papa Huamantanga
2022-02-16,1.59,Papa Huayro
2022-02-16,1.6,Papa Negra Andina
2022-02-16,1.73,Papa Peruanita
2022-02-16,1.93,Papa Unica
2022-02-16,1.19,Papa Yungay
2022-02-17,2.28,Papa Amarilla
2022-02-17,1.18,Papa Blanca
2022-02-17,1.48,Papa Canchan
2022-02-17,1.69,Papa Color
2022-02-17,1.85,Papa Huamantanga
2022-02-17,1.59,Papa Huayro
2022-02-17,1.58,Papa Negra Andina
2022-02-17,1.68,Papa Peruanita
2022-02-17,1.9,Papa Unica
2022-02-17,1.18,Papa Yungay
2022-02-18,2.23,Papa Amarilla
2022-02-18,1.2,Papa Blanca
2022-02-18,1.48,Papa Canchan
2022-02-18,1.73,Papa Color
2022-02-18,1.85,Papa Huamantanga
2022-02-18,1.53,Papa Huayro
2022-02-18,1.5,Papa Negra Andina
2022-02-18,1.68,Papa Peruanita
2022-02-18,1.98,Papa Unica
2022-02-18,1.2,Papa Yungay
2022-02-19,2.2,Papa Amarilla
2022-02-19,1.2,Papa Blanca
2022-02-19,1.53,Papa Canchan
2022-02-19,1.73,Papa Color
2022-02-19,1.86,Papa Huamantanga
2022-02-19,1.51,Papa Huayro
2022-02-19,1.48,Papa Negra Andina
2022-02-19,1.7,Papa Peruanita
2022-02-19,1.93,Papa Unica
2022-02-19,1.2,Papa Yungay
2022-02-20,2.2,Papa Amarilla
2022-02-20,1.2,Papa Blanca
2022-02-20,1.53,Papa Canchan
2022-02-20,1.73,Papa Color
2022-02-20,1.86,Papa Huamantanga
2022-02-20,1.51,Papa Huayro
2022-02-20,1.48,Papa Negra Andina
2022-02-20,1.7,Papa Peruanita
2022-02-20,1.93,Papa Unica
2022-02-20,1.2,Papa Yungay
2022-02-21,2.23,Papa Amarilla
2022-02-21,1.2,Papa Blanca
2022-02-21,1.6,Papa Canchan
2022-02-21,1.78,Papa Color
2022-02-21,1.88,Papa Huamantanga
2022-02-21,1.58,Papa Huayro
2022-02-21,1.48,Papa Negra Andina
2022-02-21,1.8,Papa Peruanita
2022-02-21,1.95,Papa Unica
2022-02-21,1.2,Papa Yungay
2022-02-22,2.3,Papa Amarilla
2022-02-22,1.28,Papa Blanca
2022-02-22,1.53,Papa Canchan
2022-02-22,1.7,Papa Color
2022-02-22,1.88,Papa Huamantanga
2022-02-22,1.6,Papa Huayro
2022-02-22,1.43,Papa Negra Andina
2022-02-22,1.78,Papa Peruanita
2022-02-22,1.88,Papa Unica
2022-02-22,1.28,Papa Yungay
2022-02-23,2.23,Papa Amarilla
2022-02-23,1.31,Papa Blanca
2022-02-23,1.48,Papa Canchan
2022-02-23,1.65,Papa Color
2022-02-23,1.83,Papa Huamantanga
2022-02-23,1.58,Papa Huayro
2022-02-23,1.4,Papa Negra Andina
2022-02-23,1.88,Papa Peruanita
2022-02-23,1.83,Papa Unica
2022-02-23,1.31,Papa Yungay
2022-02-24,2.3,Papa Amarilla
2022-02-24,1.28,Papa Blanca
2022-02-24,1.48,Papa Canchan
2022-02-24,1.6,Papa Color
2022-02-24,1.9,Papa Huamantanga
2022-02-24,1.58,Papa Huayro
2022-02-24,1.38,Papa Negra Andina
2022-02-24,1.9,Papa Peruanita
2022-02-24,1.73,Papa Unica
2022-02-24,1.28,Papa Yungay
2022-02-25,2.13,Papa Amarilla
2022-02-25,1.29,Papa Blanca
2022-02-25,1.49,Papa Canchan
2022-02-25,1.58,Papa Color
2022-02-25,1.7,Papa Huamantanga
2022-02-25,1.48,Papa Huayro
2022-02-25,1.29,Papa Negra Andina
2022-02-25,1.7,Papa Peruanita
2022-02-25,1.68,Papa Unica
2022-02-25,1.29,Papa Yungay
2022-02-26,2.2,Papa Amarilla
2022-02-26,1.28,Papa Blanca
2022-02-26,1.48,Papa Canchan
2022-02-26,1.59,Papa Color
2022-02-26,1.58,Papa Huamantanga
2022-02-26,1.4,Papa Huayro
2022-02-26,1.28,Papa Negra Andina
2022-02-26,1.55,Papa Peruanita
2022-02-26,1.7,Papa Unica
2022-02-26,1.28,Papa Yungay
2022-02-27,2.2,Papa Amarilla
2022-02-27,1.28,Papa Blanca
2022-02-27,1.48,Papa Canchan
2022-02-27,1.59,Papa Color
2022-02-27,1.58,Papa Huamantanga
2022-02-27,1.4,Papa Huayro
2022-02-27,1.28,Papa Negra Andina
2022-02-27,1.55,Papa Peruanita
2022-02-27,1.7,Papa Unica
2022-02-27,1.28,Papa Yungay
2022-02-28,2.25,Papa Amarilla
2022-02-28,1.3,Papa Blanca
2022-02-28,1.4,Papa Canchan
2022-02-28,1.6,Papa Color
2022-02-28,1.53,Papa Huamantanga
2022-02-28,1.33,Papa Huayro
2022-02-28,1.38,Papa Negra Andina
2022-02-28,1.6,Papa Peruanita
2022-02-28,1.8,Papa Unica
2022-02-28,1.3,Papa Yungay
2022-03-01,2.13,Papa Amarilla
2022-03-01,1.3,Papa Blanca
2022-03-01,1.38,Papa Canchan
2022-03-01,1.58,Papa Color
2022-03-01,1.5,Papa Huamantanga
2022-03-01,1.31,Papa Huayro
2022-03-01,1.38,Papa Negra Andina
2022-03-01,1.58,Papa Peruanita
2022-03-01,1.78,Papa Unica
2022-03-01,1.3,Papa Yungay
2022-03-02,2.15,Papa Amarilla
2022-03-02,1.29,Papa Blanca
2022-03-02,1.38,Papa Canchan
2022-03-02,1.59,Papa Color
2022-03-02,1.49,Papa Huamantanga
2022-03-02,1.33,Papa Huayro
2022-03-02,1.43,Papa Negra Andina
2022-03-02,1.6,Papa Peruanita
2022-03-02,1.8,Papa Unica
2022-03-02,1.29,Papa Yungay
2022-03-03,2.08,Papa Amarilla
2022-03-03,1.29,Papa Blanca
2022-03-03,1.35,Papa Canchan
2022-03-03,1.56,Papa Color
2022-03-03,1.48,Papa Huamantanga
2022-03-03,1.33,Papa Huayro
2022-03-03,1.41,Papa Negra Andina
2022-03-03,1.58,Papa Peruanita
2022-03-03,1.78,Papa Unica
2022-03-03,1.29,Papa Yungay
2022-03-04,2.0,Papa Amarilla
2022-03-04,1.19,Papa Blanca
2022-03-04,1.38,Papa Canchan
2022-03-04,1.53,Papa Color
2022-03-04,1.48,Papa Huamantanga
2022-03-04,1.31,Papa Huayro
2022-03-04,1.31,Papa Negra Andina
2022-03-04,1.5,Papa Peruanita
2022-03-04,1.68,Papa Unica
2022-03-04,1.19,Papa Yungay
2022-03-05,1.98,Papa Amarilla
2022-03-05,1.18,Papa Blanca
2022-03-05,1.4,Papa Canchan
2022-03-05,1.49,Papa Color
2022-03-05,1.48,Papa Huamantanga
2022-03-05,1.29,Papa Huayro
2022-03-05,1.31,Papa Negra Andina
2022-03-05,1.48,Papa Peruanita
2022-03-05,1.58,Papa Unica
2022-03-05,1.18,Papa Yungay
2022-03-06,1.98,Papa Amarilla
2022-03-06,1.18,Papa Blanca
2022-03-06,1.4,Papa Canchan
2022-03-06,1.49,Papa Color
2022-03-06,1.48,Papa Huamantanga
2022-03-06,1.29,Papa Huayro
2022-03-06,1.31,Papa Negra Andina
2022-03-06,1.48,Papa Peruanita
2022-03-06,1.58,Papa Unica
2022-03-06,1.18,Papa Yungay
2022-03-07,2.08,Papa Amarilla
2022-03-07,1.13,Papa Blanca
2022-03-07,1.43,Papa Canchan
2022-03-07,1.51,Papa Color
2022-03-07,1.49,Papa Huamantanga
2022-03-07,1.28,Papa Huayro
2022-03-07,1.3,Papa Negra Andina
2022-03-07,1.5,Papa Peruanita
2022-03-07,1.6,Papa Unica
2022-03-07,1.13,Papa Yungay
2022-03-08,2.1,Papa Amarilla
2022-03-08,1.08,Papa Blanca
2022-03-08,1.39,Papa Canchan
2022-03-08,1.53,Papa Color
2022-03-08,1.48,Papa Huamantanga
2022-03-08,1.28,Papa Huayro
2022-03-08,1.33,Papa Negra Andina
2022-03-08,1.43,Papa Peruanita
2022-03-08,1.68,Papa Unica
2022-03-08,1.08,Papa Yungay
2022-03-09,2.05,Papa Amarilla
2022-03-09,1.1,Papa Blanca
2022-03-09,1.38,Papa Canchan
2022-03-09,1.53,Papa Color
2022-03-09,1.48,Papa Huamantanga
2022-03-09,1.28,Papa Huayro
2022-03-09,1.28,Papa Negra Andina
2022-03-09,1.4,Papa Peruanita
2022-03-09,1.69,Papa Unica
2022-03-09,1.1,Papa Yungay
2022-03-10,2.05,Papa Amarilla
2022-03-10,1.1,Papa Blanca
2022-03-10,1.4,Papa Canchan
2022-03-10,1.55,Papa Color
2022-03-10,1.45,Papa Huamantanga
2022-03-10,1.25,Papa Huayro
2022-03-10,1.28,Papa Negra Andina
2022-03-10,1.38,Papa Peruanita
2022-03-10,1.7,Papa Unica
2022-03-10,1.1,Papa Yungay
2022-03-11,2.0,Papa Amarilla
2022-03-11,1.09,Papa Blanca
2022-03-11,1.38,Papa Canchan
2022-03-11,1.55,Papa Color
2022-03-11,1.45,Papa Huamantanga
2022-03-11,1.31,Papa Huayro
2022-03-11,1.2,Papa Negra Andina
2022-03-11,1.38,Papa Peruanita
2022-03-11,1.73,Papa Unica
2022-03-11,1.09,Papa Yungay
2022-03-12,2.08,Papa Amarilla
2022-03-12,1.11,Papa Blanca
2022-03-12,1.43,Papa Canchan
2022-03-12,1.63,Papa Color
2022-03-12,1.58,Papa Huamantanga
2022-03-12,1.34,Papa Huayro
2022-03-12,1.18,Papa Negra Andina
2022-03-12,1.48,Papa Peruanita
2022-03-12,1.83,Papa Unica
2022-03-12,1.11,Papa Yungay
2022-03-13,2.08,Papa Amarilla
2022-03-13,1.11,Papa Blanca
2022-03-13,1.43,Papa Canchan
2022-03-13,1.63,Papa Color
2022-03-13,1.58,Papa Huamantanga
2022-03-13,1.34,Papa Huayro
2022-03-13,1.18,Papa Negra Andina
2022-03-13,1.48,Papa Peruanita
2022-03-13,1.83,Papa Unica
2022-03-13,1.11,Papa Yungay
2022-03-14,2.1,Papa Amarilla
2022-03-14,1.13,Papa Blanca
2022-03-14,1.4,Papa Canchan
